"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 15 02:04:17 MSK 2020","Tue Sep 15 02:04:18 MSK 2020","904","test","test_add_contact_in_group","","","","test_add_contact_to_group",""
"passed","Tue Sep 15 02:04:29 MSK 2020","Tue Sep 15 02:04:29 MSK 2020","895","test","test_phones","","","","test_phones_on_contact_view_page",""
"passed","Tue Sep 15 02:04:29 MSK 2020","Tue Sep 15 02:04:31 MSK 2020","1921","test","test_remove_contact_from_group","","","","test_remove_contact_from_group",""
"failed","Tue Sep 15 02:04:18 MSK 2020","Tue Sep 15 02:04:19 MSK 2020","635","test","test_assert_contact","","","","test_contact_data_for_random_contact",""
"passed","Tue Sep 15 02:04:20 MSK 2020","Tue Sep 15 02:04:24 MSK 2020","3706","test","test_del_contact","","","","test_del_contacts",""
"passed","Tue Sep 15 02:03:31 MSK 2020","Tue Sep 15 02:03:32 MSK 2020","991","test","Test_Add_Group","","","","test_add_group[None:nameMWy Q8;footerh1MB4m tn;logoqjnX Hgje X]",""
"passed","Tue Sep 15 02:04:09 MSK 2020","Tue Sep 15 02:04:17 MSK 2020","8596","test","Test_add_contacts","","","","test_add_contacts[None:namehJ7KD:l_nameDdS]",""
"passed","Tue Sep 15 02:03:52 MSK 2020","Tue Sep 15 02:04:00 MSK 2020","8484","test","Test_add_contacts","","","","test_add_contacts[None:name :l_nameu qU]",""
"passed","Tue Sep 15 02:03:33 MSK 2020","Tue Sep 15 02:03:34 MSK 2020","1006","test","Test_Add_Group","","","","test_add_group[None:name;footer x3mT3f3 ;logo9seeH XrZf q53]",""
"failed","Tue Sep 15 02:04:26 MSK 2020","Tue Sep 15 02:04:27 MSK 2020","915","test","test_edit_group","","","","test_edit_group_name",""
"passed","Tue Sep 15 02:04:24 MSK 2020","Tue Sep 15 02:04:26 MSK 2020","1447","test","test_edit_contact","","","","test_edit_contacts",""
"passed","Tue Sep 15 02:03:28 MSK 2020","Tue Sep 15 02:03:29 MSK 2020","1076","test","Test_Add_Group","","","","test_add_group[None:;;]",""
"passed","Tue Sep 15 02:04:27 MSK 2020","Tue Sep 15 02:04:28 MSK 2020","1945","test","test_phones","","","","test_phones_on_home_page",""
"failed","Tue Sep 15 02:04:19 MSK 2020","Tue Sep 15 02:04:19 MSK 2020","2","test","test_assert_contact","","","","test_contact_db_info_matches_ui",""
"passed","Tue Sep 15 02:04:24 MSK 2020","Tue Sep 15 02:04:24 MSK 2020","551","test","test_del_group","","","","test_delete_some_group",""
"passed","Tue Sep 15 02:03:29 MSK 2020","Tue Sep 15 02:03:30 MSK 2020","1041","test","Test_Add_Group","","","","test_add_group[None:namebE;footerRlyY;logo6lmry zWN6ShCX2Lsr]",""
"passed","Tue Sep 15 02:04:19 MSK 2020","Tue Sep 15 02:04:20 MSK 2020","930","test","test_db_matches_ui","","","","test_group_list",""
"passed","Tue Sep 15 02:03:32 MSK 2020","Tue Sep 15 02:03:33 MSK 2020","1112","test","Test_Add_Group","","","","test_add_group[None:name;footerG DS C;logoDVq ]",""
"passed","Tue Sep 15 02:03:43 MSK 2020","Tue Sep 15 02:03:52 MSK 2020","8572","test","Test_add_contacts","","","","test_add_contacts[None:named 9rk An:l_nameg]",""
"passed","Tue Sep 15 02:03:34 MSK 2020","Tue Sep 15 02:03:43 MSK 2020","8607","test","Test_add_contacts","","","","test_add_contacts[None:namecIU:l_name82  jn8]",""
"passed","Tue Sep 15 02:03:30 MSK 2020","Tue Sep 15 02:03:31 MSK 2020","970","test","Test_Add_Group","","","","test_add_group[None:nameOj;footerAb0j 2f0;logoP2G MySl4hC]",""
"passed","Tue Sep 15 02:04:00 MSK 2020","Tue Sep 15 02:04:09 MSK 2020","8623","test","Test_add_contacts","","","","test_add_contacts[None:namej:l_name]",""
